project,bug_id,tool,detected,rank,mrr,map,duration_seconds,execution_timestamp,comparison_timestamp,cpu_avg_percent,cpu_max_percent,memory_avg_bytes,memory_max_bytes,memory_limit_bytes,network_rx_total_bytes,network_tx_total_bytes,disk_read_total_bytes,disk_write_total_bytes,top@1,top@5,top@10
JacksonDatabind,38,FlexFL,Yes,1.0,1.0,0.3333333333333333,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
JacksonDatabind,38,boostnsift,Yes,1.0,1.0,1.0,22.34421992301941,2025-11-18T17:08:37.113301,2025-12-22T16:51:35.010325,86.10333333333334,218.54,337148641.0,631976755.0,134861973094.0,806.0,0.0,0.0,0.0,1,1,1
JacksonDatabind,38,buglocator,Yes,1.0,1.0,1.0,31.36385440826416,2025-12-17T14:48:55.249791,2025-12-22T16:51:35.010325,,,,,,,,,,1,1,1
JacksonDatabind,38,locus,Yes,1.0,1.0,1.0,52.08652448654175,2025-11-22T11:08:25.866353,2025-12-25T12:38:07.219373,,,,,,,,,,1,1,1
JacksonDatabind,39,FlexFL,No,,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
JacksonDatabind,39,boostnsift,Yes,254.0,0.003937,0.003937,24.980783939361572,2025-11-18T17:09:00.189714,2025-12-22T16:51:35.010325,76.56,274.5,285417144.0,771856793.0,134861973094.0,806.0,0.0,0.0,0.0,0,0,0
JacksonDatabind,39,buglocator,Yes,478.0,0.002092,0.002092,39.21720886230469,2025-12-17T14:49:29.054244,2025-12-22T16:51:35.010325,,,,,,,,,,0,0,0
JacksonDatabind,39,locus,Yes,666.0,0.001502,0.001502,48.98422193527222,2025-11-22T11:08:46.471951,2025-12-25T12:38:07.219373,,,,,,,,,,0,0,0
JacksonDatabind,40,FlexFL,No,,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
JacksonDatabind,40,boostnsift,Yes,24.0,0.041667,0.041667,23.87391424179077,2025-11-18T17:09:37.683922,2025-12-22T16:51:35.010325,63.32333333333333,114.05,416095928.0,712402534.0,134861973094.0,586.0,0.0,0.0,0.0,0,0,0
JacksonDatabind,40,buglocator,Yes,2.0,0.5,0.5,32.71065711975098,2025-12-17T14:50:01.764956,2025-12-22T16:51:35.010325,,,,,,,,,,0,1,1
JacksonDatabind,40,locus,Yes,12.0,0.083333,0.083333,52.76224184036255,2025-11-22T11:09:39.258777,2025-12-25T12:38:07.219373,,,,,,,,,,0,0,0
JacksonDatabind,41,FlexFL,Yes,1.0,1.0,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
JacksonDatabind,41,boostnsift,Yes,13.0,0.076923,0.076923,24.527807474136353,2025-11-18T17:09:56.994645,2025-12-22T16:51:35.010325,66.3525,223.83,274134466.5,673185792.0,134861973094.0,806.0,0.0,0.0,0.0,0,0,0
JacksonDatabind,41,buglocator,Yes,1.0,1.0,1.0,30.677747011184692,2025-12-17T14:50:00.631758,2025-12-22T16:51:35.010325,,,,,,,,,,1,1,1
JacksonDatabind,41,locus,Yes,2.0,0.5,0.5,47.2512948513031,2025-11-22T11:09:44.008565,2025-12-25T12:38:07.219373,,,,,,,,,,0,1,1
JacksonDatabind,42,FlexFL,Yes,1.0,1.0,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
JacksonDatabind,42,boostnsift,Yes,27.0,0.037037,0.037037,20.488300800323486,2025-11-18T17:10:12.315721,2025-12-22T16:51:35.010325,90.43,245.92,354516554.6666667,640784793.0,134861973094.0,806.0,0.0,0.0,0.0,0,0,0
JacksonDatabind,42,buglocator,Yes,24.0,0.041667,0.041667,36.15429043769837,2025-12-17T14:50:36.786105,2025-12-22T16:51:35.010325,,,,,,,,,,0,0,0
JacksonDatabind,42,locus,Yes,344.0,0.002907,0.002907,54.1073784828186,2025-11-22T11:10:33.386701,2025-12-25T12:38:07.219373,,,,,,,,,,0,0,0
JacksonDatabind,43,FlexFL,No,,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
JacksonDatabind,43,boostnsift,Yes,38.0,0.026316,0.026316,38.967207193374634,2025-11-18T17:10:49.582812,2025-12-22T16:51:35.010325,47.38857142857143,282.11,679680970.8571428,933861785.0,134861973094.0,876.0,0.0,0.0,0.0,0,0,0
JacksonDatabind,43,buglocator,Yes,253.0,0.003953,0.003953,40.538618326187134,2025-12-17T14:50:42.303632,2025-12-22T16:51:35.010325,,,,,,,,,,0,0,0
JacksonDatabind,43,locus,Yes,84.0,0.011905,0.011905,52.66572713851929,2025-11-22T11:10:36.677458,2025-12-25T12:38:07.219373,,,,,,,,,,0,0,0
JacksonDatabind,44,FlexFL,No,,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
JacksonDatabind,44,boostnsift,Yes,48.0,0.020833,0.020833,215.4129223823547,2025-11-18T17:14:07.908835,2025-12-22T16:51:35.010325,104.53833333333334,500.23,525136996.5,1215475744.0,134861973094.0,656.0,0.0,0.0,0.0,0,0,0
JacksonDatabind,44,buglocator,Yes,160.0,0.00625,0.00625,365.3821806907654,2025-12-17T14:56:42.168338,2025-12-22T16:51:35.010325,,,,,,,,,,0,0,0
JacksonDatabind,44,locus,Yes,75.0,0.013333,0.013333,51.3336021900177,2025-11-22T11:11:24.725391,2025-12-25T12:38:07.219373,,,,,,,,,,0,0,0
JacksonDatabind,45,FlexFL,Yes,1.0,1.0,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
